class,aa_000,ab_000,ac_000,ad_000,ae_000,af_000,ag_000,ag_001,ag_002,ag_003,ag_004,ag_005,ag_006,ag_007,ag_008,ag_009,ah_000,ai_000,aj_000,ak_000,al_000,am_0,an_000,ao_000,ap_000,aq_000,ar_000,as_000,at_000,au_000,av_000,ax_000,ay_000,ay_001,ay_002,ay_003,ay_004,ay_005,ay_006,ay_007,ay_008,ay_009,az_000,az_001,az_002,az_003,az_004,az_005,az_006,az_007,az_008,az_009,ba_000,ba_001,ba_002,ba_003,ba_004,ba_005,ba_006,ba_007,ba_008,ba_009,bb_000,bc_000,bd_000,be_000,bf_000,bg_000,bh_000,bi_000,bj_000,bk_000,bl_000,bm_000,bn_000,bo_000,bp_000,bq_000,br_000,bs_000,bt_000,bu_000,bv_000,bx_000,by_000,bz_000,ca_000,cb_000,cc_000,cd_000,ce_000,cf_000,cg_000,ch_000,ci_000,cj_000,ck_000,cl_000,cm_000,cn_000,cn_001,cn_002,cn_003,cn_004,cn_005,cn_006,cn_007,cn_008,cn_009,co_000,cp_000,cq_000,cr_000,cs_000,cs_001,cs_002,cs_003,cs_004,cs_005,cs_006,cs_007,cs_008,cs_009,ct_000,cu_000,cv_000,cx_000,cy_000,cz_000,da_000,db_000,dc_000,dd_000,de_000,df_000,dg_000,dh_000,di_000,dj_000,dk_000,dl_000,dm_000,dn_000,do_000,dp_000,dq_000,dr_000,ds_000,dt_000,du_000,dv_000,dx_000,dy_000,dz_000,ea_000,eb_000,ec_00,ed_000,ee_000,ee_001,ee_002,ee_003,ee_004,ee_005,ee_006,ee_007,ee_008,ee_009,ef_000,eg_000
neg,1838,,152,144,0,0,0,0,0,0,62226,44304,5520,0,0,0,41512,0,0,0,6268,8178,96660,91642,19570,7084,0,0,0,0,260,80,0,0,0,0,0,7908,83466,6472,14204,0,124,30,50,54,2364,109168,260,0,0,0,25934,56206,18558,6852,3648,646,172,34,0,0,122528,0,6,76,0,41512,1418,10652,8874,,,,,,,,,19240,1837.26,122528,122528,126302,416,0,11986,122060,112050,1209600,2916,0,2,0,101184.96,0.0,10726.08,0,0,0,0,46502,49556,14480,1328,170,14,0,0,0,4,122528,,232,30,438,6724,2114,42020,56196,4232,64,0,264,302,102510,58066,0,2,0,38,102568,128,58,0,0,0,0,0,0,0,0,840,414,80,0,0,2786,520,420,38,12028,28,0,0,837290,97.88,94,12200,17406,6082,2784,7666,65894,18,0,0,0,0,0
neg,1006,0,28,,0,0,0,0,0,0,0,0,0,0,0,0,31740,0,0,0,19342,28502,87328,88780,87770,6914,0,0,0,0,70,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,194544,26,18,4,0,31740,1038,69412,17998,,,,,,,,,86740,1005.1,194544,194544,220,0,0,18772,193440,0,1209600,2384,,,,60697.92,17279.04,28141.44,0,0,0,0,0,0,0,0,0,0,0,0,,58,194544,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,310,132,0,20068,0,0,0,0,0,0,1362,0,0,0,0,0,0,0,0,0,0,0,0,5130,0,0,0,0,0,0,0,0,0,0,0,0,0,0
neg,40670,,2130706432,128,0,0,0,0,0,0,452,237374,1249650,549230,17370,464,910030,0,0,0,0,0,1908602,1750992,278842,140764,0,0,0,0,32,4,0,0,0,0,0,43298,472274,1537668,1300,0,4046,1270,1746,32640,1675020,339774,38,4,2,0,392998,513134,218858,208892,193980,184112,248438,94128,0,0,2187664,148,18,324,0,910030,18410,206986,71346,200100,,,,,,,,76320,40670.68,2187664,2187664,2196268,16240,0,96742,975700,2054540,1209600,29880,8,38,0,1855177.92,0.0,197240.64,0,0,0,0,0,51722,697560,1108568,184942,9494,2068,186,2,0,2187664,,2702,212,90670,76712,62420,1489524,328466,3806,26,2,248,554,1844164,421978,0,12,0,28,1864320,274,24,0,0,0,0,0,0,0,0,9486,14194,5596,0,0,35932,5244,12140,1210,0,0,0,0,670740,354.26,394,204588,218714,175120,83570,186524,287676,153060,169338,558632,17318,0,0
neg,1024,0,2130706432,80,0,0,0,0,0,0,0,0,0,0,0,0,32110,0,0,0,0,0,73582,62882,29902,4318,0,0,0,0,62,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103582,46,42,36,2,32110,950,19904,9910,,,,,,,,,29240,1023.15,103582,103582,1634,0,0,9868,102700,77784,1209600,2392,2,20,0,56739.84,0.0,19957.44,0,0,0,0,0,0,0,0,0,0,0,0,0,10,103582,0,0,0,0,0,0,0,0,0,0,0,124,152,59274,12374,0,12,0,0,59424,174,548,0,0,0,0,0,0,0,0,846,0,10,0,0,1554,234,383260,38332,0,0,0,0,23150,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pos,1515212,,,,,,0,0,0,5918,1649344,33671724,48410556,8249730,236944,104,37194906,207390,0,,25064,52750,69207830,55709330,28996862,13101904,,0,0,0,,,0,0,0,0,1515718,60963450,17725342,11962678,57132,0,68554,28536,46412,100306,8822132,82795012,363262,12,4,90,33463150,19363904,8097626,5897510,4281460,3749836,10131612,7239206,16,0,98241716,,,,,37194906,1459654,14687710,14212112,453100,452820,442680,437180,484080,446940,453060,460260,32680,1515211.98,98241716,98241716,98395650,470134,,,77640,92224320,1209600,,,,,76020708.48,0,16144237.44,0,0,0,22,73014,9309092,50736712,27502638,4013702,488628,99096,1416,,,98241716,,70684,15848,367616,10374092,7818562,66909420,6549274,118670,154,0,,,,,,,,,,,,,,,,,,,,843008,,,,,,,,,,,,,,37657.74,39880,16836204,9930884,6345012,3636352,8595462,9951332,15412402,14526338,6973004,17330,,
neg,820,0,0,22,0,0,0,0,0,0,50,69460,24990,1228,0,0,30810,0,0,0,0,0,93366,80970,44232,6684,0,0,0,0,0,0,0,0,0,0,0,0,0,870,94858,0,268,34,62,554,404,66120,28280,6,0,0,62178,11588,8386,4100,2868,2198,1570,926,522,1392,137648,0,0,0,0,30810,872,32744,11216,,,,,,,,,43600,819.4,137648,137648,138790,347,0,13384,136960,96172,1209600,0,2,10,0,45840.0,0,49352.64,2,24,0,0,0,12962,38914,30740,7636,5390,86,0,4,0,137648,0,1098,44,16032,14248,6886,47228,9052,1100,40,0,78,36,47036,18626,0,0,0,0,47036,0,0,0,0,0,0,0,0,0,0,736,0,0,0,0,0,0,0,0,0,0,0,0,0,1.46,110,50718,10130,4686,1966,3194,4682,19228,1078,46,0,0,0
neg,14,,34,32,0,0,0,0,0,0,2746,2654,1974,0,0,0,2226,0,0,0,1134,2230,4656,2502,25382,832,0,0,0,0,50,20,0,0,0,0,0,0,0,444,6930,0,56,10,16,56,1016,6220,0,0,0,0,5444,798,484,72,48,196,324,8,0,0,31208,0,8,0,0,2226,128,21914,3368,,,,,,,,,25200,13.35,31208,31208,32084,26,0,2966,31000,7374,1209600,390,2,22,0,2267.52,487.68,3573.12,0,18,0,0,2438,2478,1470,598,390,0,0,0,0,6,31208,,1114,12,16,28,960,988,3608,588,56,4,46,26,2682,192,0,0,0,0,3302,68,76,0,0,50,520,0,0,0,0,194,0,0,0,0,90,26,5020,502,0,0,0,0,0,43.78,38,5440,1586,186,22,48,28,24,40,0,0,0,0
neg,34024,,,,,,0,0,0,0,758,219140,1394224,779718,21664,184,986386,0,0,,0,0,2039046,1798060,507074,226108,,0,1640,0,,,0,0,0,0,0,141090,936128,1092522,245948,0,7592,7378,8210,22914,1578824,790000,768,2,0,0,861606,302574,189336,167006,162918,194632,263106,258724,15638,148,2546484,,,,,986386,32896,296770,209702,215640,249620,0,0,0,0,0,0,35000,34024.4,2546484,2546484,,19813,,,121500,,1209600,,,,,2162457.6,0.0,250965.12,,,0,0,0,60734,748262,1330938,254364,17854,3394,142,,,2546484,,3028,426,148196,85466,244424,1837474,92974,3700,0,0,,,,,,,,,,,,,,,,,,,,18206,,,,,,,,,,,,,,,,262286,611630,401568,181840,367944,283572,136568,89386,79858,1036,,
neg,31372,,0,,0,0,0,0,0,0,10162,664484,1304974,356530,5234,0,1097300,0,0,0,0,0,2026886,1773510,479582,194482,0,0,0,0,0,0,0,0,0,0,0,0,77112,158322,2105950,0,5250,2200,3650,5280,503720,1819872,1408,4,0,0,1012068,455710,221808,147324,98898,79418,94840,154120,69620,7578,2507084,70,252,806,54,1097300,33438,191746,286786,252540,204980,1310700,1310700,1310700,1310700,1310700,1310700,16280,31371.74,2507084,2507084,,12956,127442,3986,81780,,1209600,0,,,,1793789.76,0.0,542800.32,,,0,0,0,231312,1208944,745110,138286,14226,3448,58,,0,2507084,,4766,420,172696,320500,201202,1453352,181804,6618,26,0,,,,,,,,,,2252,926,0,0,0,0,0,0,0,0,17790,22856,5096,0,0,83480,16330,2535760,407938,0,0,0,0,1371750,,,566466,372162,194744,113210,354020,354224,215940,81970,77566,11082,0,0
neg,30470,,730,698,0,0,0,0,0,0,344,105462,1574974,532894,28970,2078,953748,0,0,0,0,0,1953258,1606986,474410,283160,0,0,5114,0,3406,620,0,0,0,0,0,7176,473508,1738722,25316,0,2370,1236,1786,200316,1666548,372460,6,0,0,0,741772,584020,243918,161026,112382,83308,105012,213284,0,0,2428270,244,192,412,12,953748,32084,237886,234250,258320,210320,,,,,,,100,30470.26,2428270,2428270,2413464,14613,41436,117648,2560,2244722,1209600,70958,4,56,0,1975969.92,0.0,266816.64,0,0,0,0,0,15558,523078,1268534,422634,12810,2020,88,264,302,2428270,,3724,580,27446,137652,108226,1525756,425936,15288,114,0,1060,1384,1667864,59670,0,216,0,24,1992344,2070,122,0,0,0,0,0,0,0,0,18566,15530,2848,0,0,68338,11872,963540,208144,0,0,0,0,470260,1272.52,1292,282894,578942,351810,170666,344278,268556,113842,60086,72822,826,0,0
neg,52390,,2130706432,256,0,0,0,0,0,0,1668,479416,1953620,729852,26460,238,1454070,0,0,0,0,0,2712056,2231522,641052,424910,0,0,0,0,184,62,0,0,0,0,0,35124,1680468,1395254,80408,0,2792,1510,2770,5442,371126,2807522,92,0,0,0,918556,844504,316346,239472,191326,159238,241448,280364,0,0,3353574,398,7448,446,16,1454070,51546,362662,273684,227320,221860,,,,,,,185600,52390.16,3353574,3353574,3348584,22104,846,88904,928380,3191254,1209600,98234,0,60,0,2935197.12,0.0,253104.0,4,370,0,0,0,89976,977166,1719306,384564,16496,3556,190,236,244,3353574,,4932,482,61520,143028,97486,2123540,721496,38244,526,0,440,188,2824588,803476,0,49206,0,0,2962406,1802,260,0,0,0,0,0,0,0,0,34230,48384,24068,0,0,67082,11202,10199560,1047468,0,0,0,0,13261900,1035.56,1170,275060,475190,436388,242144,523918,742880,417854,57912,19908,0,0,0
neg,2450,,186,156,0,0,0,0,0,0,224,9216,216014,21892,170,0,111522,2642,378,0,0,0,183446,123656,120778,42468,0,0,0,0,468,130,0,0,0,0,0,82,222878,24556,0,0,616,268,508,428,45030,195908,4758,0,0,0,153542,42136,17748,11550,7938,5414,5036,4152,0,0,304398,48,98,94,0,111522,4670,40144,79608,,,,,,,,,119380,2449.43,304398,304398,297386,919,2014,28670,302900,247516,1209600,8150,0,48,0,148656.0,0,98138.88,0,0,0,0,0,4836,147718,84332,8998,1428,204,0,14,20,304398,,1054,104,3682,37050,23214,79652,96528,6164,68,0,248,512,139786,29062,84,304,0,0,161594,544,120,0,0,0,0,0,0,0,0,3784,890,172,0,0,6472,1174,28660,4368,0,0,0,0,1417770,332.44,310,102216,45156,14650,6344,17322,18602,11796,5068,26362,0,0,0
neg,80500,,2130706434,538,0,0,0,0,0,0,37814,1239038,3587212,1204830,64644,1942,2439538,4224,0,0,0,0,4824028,3652012,1488786,1091138,0,0,0,0,974,362,0,0,0,0,0,59150,3723224,2177518,175588,0,2304,606,1922,343216,4726474,1060492,466,0,0,0,2620444,1058522,577020,377402,354376,733478,414238,0,0,0,6313362,0,48,846,58,2439538,90730,694226,786820,297060,277980,247640,270920,325220,,,,61360,80499.72,6313362,6313362,6299000,37468,784,20036,257580,6135480,1209600,203062,2,150,0,5011415.04,0.0,1120440.0,0,0,0,0,72,206202,1316382,2712632,1761664,126008,11088,1432,4636,4754,6313362,,6346,728,142142,573578,290462,4383156,715264,23580,216,8,808,812,5019558,262080,0,4332,0,28,5069036,3456,258,0,0,0,0,0,0,0,0,54632,86572,35980,0,0,78402,20746,16364740,1651568,0,0,0,0,2829070,1495.7,1704,1154622,931522,1017852,878848,1334336,815464,2220,530,86,0,0,0
neg,24,0,62,,0,0,0,0,0,0,8,294,5260,0,0,0,2178,0,30,0,0,0,9970,8370,14664,418,0,0,0,0,46,4,0,0,0,0,0,0,0,0,5562,0,1126,34,24,66,88,4202,22,0,0,0,3844,386,166,102,280,514,122,86,56,6,24648,0,0,0,0,2178,144,13404,1190,,,,,,,,,14580,23.67,24648,24648,25530,30,636,2400,24460,5594,1209600,0,,,,2725.44,1089.6,691.2,4,18,0,0,0,296,3002,1970,256,34,4,0,,6,24648,0,1126,10,18,840,262,1202,1392,700,12,0,,,,,,,,,,142,230,0,0,230,8500,0,0,0,0,148,0,0,3726,634,84,20,9580,1552,294,40,0,0,0,75.66,34,2978,1920,162,68,112,90,116,116,0,0,0,0
neg,19436,,664,594,0,0,0,0,0,0,1706,382412,1012422,360926,30788,124,742150,0,0,0,166,318,1621568,1431890,297040,147368,0,0,0,0,1408,210,0,0,0,0,0,85458,810800,745398,146722,0,1632,992,1156,5770,739372,1035678,3778,0,0,0,797526,412726,152256,113100,95058,79084,100986,37642,0,0,1919234,300,694,626,10,742150,17820,137372,158676,145820,,,,,,,,146760,19435.86,1919234,1919234,1914204,8983,1626,67860,704340,1788378,1209600,64802,2,80,0,1418369.28,0,368422.08,0,0,0,0,620,64334,529798,836612,329826,23372,3654,162,0,6,1919234,,3428,490,27176,235024,109468,1136292,264412,12028,60,0,1074,640,1331906,91272,0,2692,18,16,1440852,2274,390,0,0,0,48,0,0,0,0,10424,25188,3336,0,0,46348,6314,504000,53448,0,0,0,0,824330,899.42,1018,384994,514552,307878,144880,207658,156720,32848,16392,21924,532,0,0
neg,8,,6,6,0,0,0,0,0,0,40,2876,2298,0,0,0,1590,0,0,0,0,0,3772,260,21674,1080,0,0,0,0,2,0,0,0,0,0,0,0,0,0,5214,0,62,10,14,32,1104,3992,0,0,0,0,4204,188,232,50,42,218,280,0,0,0,25456,0,4,2,0,1590,116,18702,2960,,,,,,,,,21520,8.14,25456,25456,27944,19,0,2376,25300,5214,1209600,202,0,8,0,1459.2,0.0,2792.64,0,12,0,0,0,2236,2126,474,378,0,0,0,0,6,25456,,1018,10,16,14,14,1758,1952,406,26,0,12,0,1598,166,0,0,0,0,1776,84,68,0,0,0,0,0,0,0,0,148,0,0,126,180,34,12,740,74,0,4,0,0,0,48.28,34,3978,1028,60,10,14,30,34,60,0,0,0,0
pos,816146,,0,,0,0,0,0,0,63248,4289750,24791570,18945992,2184192,18560,0,25141232,1117906,46,,131308,200176,43445268,37834706,11877526,4883924,0,0,0,0,0,0,0,0,0,0,0,963580,18276758,8332074,22720900,0,68756,57368,111248,183494,13583106,36248838,40448,42,8,4,18211092,11567882,6208660,3789638,2542604,2432072,3834244,1705656,1464,0,55459828,7598,10910,16128,4210,25141232,840636,6579706,5220530,144220,218320,212360,187540,159000,156500,226000,199720,150440,816145.51,55459828,55459828,54891050,290545,7589076,,921340,50293312,1209600,0,,,,43065746.88,0.0,7183674.24,0,0,0,7040,1400226,16785824,23566950,7721614,699552,95708,16324,74,,0,55459828,,34176,6930,3292740,3114932,4970614,34615906,4189324,68592,98,0,,,,,,,,,,30144,1488,,,,,,,,,488370,600688,119768,0,0,1614062,290934,74115120,13782428,0,0,0,0,,15144.96,17996,7571496,7033530,5166240,2943624,6521246,6201728,4801592,3439824,6128026,486006,0,0
neg,966,0,8,,0,0,0,0,0,1370,48960,18624,2848,0,0,0,32696,0,0,0,2568,4446,65784,60046,31844,3242,0,0,0,0,26,28,0,0,0,0,0,0,0,12090,59712,0,1402,40,96,220,372,17730,45814,6102,26,0,36556,26308,4714,1818,1370,576,250,140,68,2,100264,10,44,62,0,32696,868,21464,10146,,,,,,,,,31200,965.68,100264,100264,98494,240,1116,,99680,71936,1209600,0,,,,49261.44,0.0,21333.12,2,20,0,0,5658,24086,10010,26974,5062,6,6,0,,0,100264,0,1372,34,1540,668,4646,16380,45886,1246,30,0,,,,,,,,,,184,74,0,0,0,0,0,0,0,0,678,20,10,0,0,730,122,81680,9250,0,0,0,0,0,196.64,148,23740,9198,1398,458,1238,1818,2958,30880,114,0,0,0
neg,7024,,2130706432,,0,0,0,0,0,0,13792,235740,317200,65694,7042,72,247914,0,0,0,1216,2608,606492,539284,153284,54722,0,0,0,0,0,0,0,0,0,0,0,0,37318,290484,311738,0,540,356,554,1018,7856,629214,2,0,0,0,311586,105408,74418,54226,28424,17136,12370,13392,14626,7954,761130,34,42,18,48,247914,6568,98346,54110,,,,,,,,,151440,7023.9,761130,761130,759698,3534,1132,74872,759300,639540,1209600,0,,,,382117.44,150768.96,104654.4,0,82,0,0,4396,66950,311040,227504,27568,1700,370,12,,0,761130,,1660,146,126398,46042,143362,319854,2078,0,0,0,,,,,,,,,,368,18,0,0,30,127156,0,0,0,0,3756,1644,762,0,0,15134,2286,1168560,129760,636436,1192,0,0,0,327,386,260770,82538,49028,15532,25304,20690,17580,163348,4750,0,0,0
