class,aa_000,ac_000,ad_000,ae_000,af_000,ag_000,ag_001,ag_002,ag_003,ag_004,ag_005,ag_006,ag_007,ag_008,ag_009,ah_000,ai_000,aj_000,ak_000,al_000,am_0,an_000,ao_000,ap_000,aq_000,ar_000,as_000,at_000,au_000,av_000,ax_000,ay_000,ay_001,ay_002,ay_003,ay_004,ay_005,ay_006,ay_007,ay_008,ay_009,az_000,az_001,az_002,az_003,az_004,az_005,az_006,az_007,az_008,az_009,ba_000,ba_001,ba_002,ba_003,ba_004,ba_005,ba_006,ba_007,ba_008,ba_009,bb_000,bc_000,bd_000,be_000,bf_000,bg_000,bh_000,bi_000,bj_000,bk_000,bl_000,bm_000,bs_000,bt_000,bu_000,bv_000,bx_000,by_000,bz_000,ca_000,cb_000,cc_000,cd_000,ce_000,cf_000,cg_000,ch_000,ci_000,cj_000,ck_000,cl_000,cm_000,cn_000,cn_001,cn_002,cn_003,cn_004,cn_005,cn_006,cn_007,cn_008,cn_009,co_000,cp_000,cq_000,cs_000,cs_001,cs_002,cs_003,cs_004,cs_005,cs_006,cs_007,cs_008,cs_009,ct_000,cu_000,cv_000,cx_000,cy_000,cz_000,da_000,db_000,dc_000,dd_000,de_000,df_000,dg_000,dh_000,di_000,dj_000,dk_000,dl_000,dm_000,dn_000,do_000,dp_000,dq_000,dr_000,ds_000,dt_000,du_000,dv_000,dx_000,dy_000,dz_000,ea_000,eb_000,ec_00,ed_000,ee_000,ee_001,ee_002,ee_003,ee_004,ee_005,ee_006,ee_007,ee_008,ee_009,ef_000,eg_000
neg,122294,1686,1470,0,0,0,0,0,0,8156,1278596,6244118,2165518,81104,0,4000162,864,0,0,0,0,9214002,7739054,5176548,1247800,0,0,0,0,4500,1384,0,0,0,0,0,129276,5050334,2504636,2093246,0,14172,24232,46576,1512778,7217846,961850,38,0,0,0,4839940,1673886,776620,597216,561224,947852,380754,0,0,0,14392242,0,182,138,168,4000162,118162,3834232,1334490,455760,570700,527100,298860,122294.41,14392242,14392242,14252824,50700,16704,91812,1065220,9777492,1209600,336624,2,290,0,7322751.36,0.0,2445530.88,0,0,0,0,0,120944,2113278,4889914,2362316,253258,34408,3374,240,260,14392242,18682,2230,283482,1557794,803690,5305428,1778672,27404,110,0,2686,3402,7383402,16750,0,20572,0,44,7467186,7596,550,0,0,0,0,0,0,0,0,69688,132308,24586,0,0,297600,83338,161160,56666,0,0,0,0,42318150,4864.7,5084,2552526,1785532,1090926,603070,1169904,809572,611714,415354,710366,28528,0,0
neg,41388,644,600,0,0,0,0,0,0,3244,694580,1806228,269832,21112,330,1255148,0,0,0,0,0,2555066,2237200,385192,273240,0,0,0,0,1270,250,0,0,0,0,0,60910,1393294,1176058,165064,0,2492,262,728,55814,2064934,668396,2700,0,0,0,754622,578982,269630,262648,268132,246166,226372,188484,290,0,2940732,138,902,1696,38,1255148,34592,210824,173284,137980,179880,,62740,41387.37,2940732,2940732,2944386,21107,3560,49112,515840,2795326,1209600,94406,0,38,0,2450725.44,0.0,341456.64,0,0,0,0,0,85426,912064,1529684,252326,12526,3114,186,92,98,2940732,4108,390,5626,150176,177022,2010396,435442,12048,118,0,932,682,2175708,155746,80,10228,0,22,2466852,1506,130,0,0,0,0,0,0,0,0,18926,45026,6902,0,0,67986,14086,1033840,165340,0,0,0,0,1805880,802.42,964,356004,562306,475834,220482,382674,303342,203428,122230,159844,9182,0,0
neg,13862,0,,0,0,0,0,0,0,39734,676466,395320,4568,0,0,525216,0,192,0,0,0,1033842,942388,153614,61824,0,0,0,0,0,0,0,0,0,0,0,21644,340868,255090,498486,0,3688,234,384,434,5886,1105444,12,4,2,0,388630,346668,151834,83222,88974,48278,8482,0,0,0,1187862,0,56,294,86,525216,14818,72416,80682,,,,149860,13862.28,1187862,1187862,1203600,3672,129340,116994,1183600,1116088,1209600,0,,,,931940.16,0.0,179943.36,0,170,0,0,2126,310898,546896,218252,27834,7582,2384,116,,0,1187862,5010,358,1204,142054,74332,668310,218836,5980,4,0,,,,,,,,,,1454,124,0,0,0,0,0,0,0,0,6986,9948,1958,0,0,50390,7862,2535020,317760,0,0,0,0,12862430,754.32,858,199444,272558,168490,87538,203594,139402,28822,8812,7252,176,0,0
neg,38634,516,450,0,0,0,0,0,430,156134,1372978,961340,171768,1038,0,1345776,0,64,0,2176,3820,2484828,2237476,393876,167430,0,0,0,0,1060,344,0,0,0,0,0,26040,643386,1404998,589264,0,2234,704,1090,132288,1849828,676532,1010,2,0,0,962748,602590,310860,211154,156988,135490,203066,80792,0,0,2881842,0,506,1486,4,1345776,35692,199372,193648,155380,176660,,53820,38634.13,2881842,2881842,2871934,12122,52452,40668,452660,2663688,1209600,106794,0,146,0,2353202.88,0.0,307200.96,0,0,0,0,22342,421400,1178170,779014,229710,27882,4794,376,108,124,2881842,5504,644,4096,136314,92494,1821802,568662,34130,42,0,768,1012,1748710,162616,108,11888,0,0,2379638,2836,790,0,0,0,0,0,0,0,0,18318,36204,6676,0,0,110468,23614,1839100,245350,0,0,0,0,1311440,1515.86,1776,335692,538578,426746,235386,439888,318998,175396,110340,82492,172,0,0
neg,526,256,78,0,0,0,0,0,0,128,15138,54136,5740,0,0,24814,0,0,0,0,0,53430,42770,65892,3162,0,0,0,0,156,68,0,0,0,0,0,0,0,1764,73378,0,19726,300,618,588,1592,52304,14,0,0,0,45106,13482,3162,1992,1476,990,600,5610,2584,140,119418,0,2,16,0,24814,1150,55612,10196,,,,65120,526.12,119418,119418,139860,532,166,11394,118620,75338,1209600,1568,0,12,0,30884.16,893.76,24396.48,24,70,0,0,0,7142,40962,20840,6104,86,8,0,6,10,119418,19300,36,1140,6248,6172,39072,2974,200,0,0,184,222,29790,2130,0,14,0,0,32744,172,238,0,0,0,892,0,0,0,0,778,76,12,12652,3194,982,240,4860,630,82602,102,0,0,0,430.44,202,35406,9178,1962,746,10740,788,1056,15240,26,0,0,0
neg,151832,,,,,0,0,0,0,89540,2292058,6565976,1670138,62960,764,3891688,0,0,,0,0,8608674,7506106,2129600,1072100,,0,0,0,,,0,0,0,0,0,306090,6144558,3351850,878938,0,8408,8462,10458,30378,7946452,2674106,3172,0,0,0,3815646,1337556,603772,479966,428724,519884,1284378,1960372,247172,3966,10739504,,,,,3891688,126644,1040230,1086170,239840,223040,250320,222960,151831.53,10739504,10739504,,87039,,,1044580,,1209600,,,,,9511742.4,0,1163293.44,,,0,0,3658,466454,4447246,4583208,1008352,146936,24882,700,,,10739504,10914,1618,740550,487670,3013838,6247998,177842,1006,0,0,,,,,,,,,,,,,,,,,,,,67266,,,,,,,,,,,,,,,,1219148,2755200,1569314,708328,1326488,1123564,1034224,645652,297890,1628,,
neg,337382,,,,,0,0,13464,2025012,14533510,16301174,3434636,113516,0,0,13002532,0,0,,426312,934968,25384536,20270602,11042306,5379438,,0,0,0,,,0,0,0,0,0,0,28360,12555462,23841774,0,18650,19470,37054,29082,14634036,21686996,288,18,2,0,13814946,10947804,3701026,1919900,1427148,1037710,893092,1362064,880102,441804,36856210,,,,,13002532,743994,2931864,8082124,393280,378200,361880,189760,337382.8,36856210,36856210,36888320,139671,,,520560,36429040,1209600,,,,,22714328.64,3592529.28,10103784.96,,,0,72684,1246738,5544816,13206556,12821210,3192220,316130,23870,1372,,,36856210,22452,5804,8176890,3583894,3261274,17354290,3888726,132250,16,0,,,,,,,,,,,,,,,,,,,,381454,,,,,,,,,,,,,,,,14311592,7163008,3931248,1402580,2296158,2075554,1678262,3532186,33988,0,,
neg,20208,2986,2730,0,0,0,0,0,0,106562,645444,1549942,1089830,13376,0,1581068,0,0,0,0,0,3128418,2763878,452068,319078,0,0,516,0,6998,1384,0,0,0,0,0,0,1181096,2224058,0,0,2400,1144,1810,214704,2637696,547172,228,0,0,0,1953406,866748,269740,132630,79878,54422,38530,10028,0,0,3580642,440,432,1590,18,1581068,52974,128982,322420,164140,158880,,124440,20208.23,3580642,3580642,3587346,11718,55312,113398,1155840,3405382,1209600,176110,0,222,0,2292264.0,65321.28,1045273.92,0,0,0,0,1260,180694,564614,1519916,1062524,72614,3694,66,484,548,3580642,3486,508,335446,642492,218772,1506948,660088,37070,572,0,3868,3372,2174320,72786,0,2138,0,64,2367454,7960,302,0,0,10430,71802,0,0,0,0,19522,2504,570,0,0,32534,30662,879180,147722,1934598,5520,0,0,0,1135.32,1178,1165056,1476044,652150,23264,26858,20472,20498,14064,6748,0,0,0
neg,1668,60,40,0,0,0,0,0,0,40286,59470,73902,7288,0,0,97096,0,0,0,0,0,199074,165816,135576,16146,0,0,0,0,248,14,0,0,0,0,0,0,0,10124,170822,0,4168,1294,1940,2862,5234,165448,0,0,0,0,103796,40552,19990,8400,3418,2318,1324,688,272,188,334836,66,60,72,0,97096,2310,92906,41630,,,,133600,1668.84,334836,334836,316812,638,14,32122,333080,181226,1209600,3268,0,46,0,87117.12,0,95805.12,70,260,0,0,3328,24856,92074,48394,12098,158,38,0,24,30,334836,2096,162,3068,19494,24332,40332,86492,4820,150,0,60,22,90004,45382,0,42,0,0,94214,326,616,0,0,0,0,0,0,0,0,2038,198,28,0,0,2160,434,820,82,0,0,0,0,667180,646.72,438,95294,17146,5588,2120,4934,3874,8620,43184,186,0,0,0
neg,40348,946,926,0,0,0,0,0,0,129948,1813472,666702,24526,974,0,1161624,0,0,0,0,272,2357060,2007816,462852,247572,0,0,0,0,652,182,0,0,0,0,0,0,38156,23496,2573970,0,4388,1324,1626,4446,653970,1963664,6204,0,0,0,661340,781928,433186,315754,190548,111770,73032,64892,3160,12,2821182,48,56,132,10,1161624,34724,166484,294138,177940,222640,,51860,40347.75,2821182,2821182,2809292,14494,1270,31958,389340,2635622,1209600,88314,2,54,0,2296752,0,332892.48,0,0,0,0,14142,926084,1378838,247884,48028,17824,2802,20,4,14,2821182,9192,1022,97404,161272,159296,1562360,629866,15152,58,0,1620,396,2329450,9418,0,144,0,8,2330264,3096,818,0,0,0,0,0,0,0,0,19598,5484,3018,0,0,50354,18942,5866880,591836,0,0,0,0,347790,2403.64,2454,362330,636298,222236,73820,142692,182586,277734,320442,414018,3466,0,0
neg,6654,606,514,0,0,0,0,0,0,270,97266,151640,113932,2216,0,168756,0,0,0,0,0,364504,344230,39460,14758,0,0,0,0,206,152,0,60,4690,4838,8386,13912,118254,100660,114524,0,2216,336,696,1610,24040,336426,0,0,0,0,115750,182016,42736,15022,6254,2140,1036,370,0,0,404034,16,20,528,16,168756,3356,22260,17102,,,,38720,6654.27,404034,404034,411830,1585,5234,40028,403380,365324,1209600,7364,8,8,0,337032.96,0,26352.0,,,0,0,0,46414,145282,127004,45218,1296,110,0,4,8,404034,2132,66,3702,25202,8864,269528,53330,2464,36,0,988,420,333680,207408,0,10,0,0,339526,212,66,0,0,0,0,0,0,0,0,1506,526,176,0,0,5100,1014,220,20,122464,728,0,0,5654270,,,30394,41336,22302,11818,26874,119414,80524,30400,2226,36,0,0
neg,58228,0,,0,0,0,0,0,0,3086,591110,2660748,555654,596,0,1673454,0,190,0,0,0,3429368,3039782,592780,318664,0,0,0,0,0,0,0,0,0,0,0,14282,2227226,994880,574806,0,2468,1458,1568,26836,2204906,1573944,12,2,0,0,1858332,900114,502182,284292,183694,80710,1870,0,0,0,4022910,0,26,44,448,1673454,53422,332444,259168,167060,167720,202960,48020,58228.69,4022910,4022910,4016578,15675,48814,33180,384220,3811194,1209600,0,,,,3359560.32,0.0,438393.6,0,0,0,0,0,118324,1758242,1527242,380372,21954,4922,138,,0,4022910,5212,696,89790,332424,194364,2908698,268466,11432,112,0,,,,,,,,,,3436,152,0,0,0,0,0,0,0,0,25172,63000,10842,0,0,162696,22384,16112640,1681780,0,0,0,0,0,1099.72,1626,473456,516578,339086,325764,1537970,610238,8050,52,0,0,0,0
neg,38316,1344,1006,0,0,0,0,0,0,1438,285974,1666684,376944,10130,0,1170538,0,150,0,0,0,2133778,1906306,337054,179264,0,0,0,0,2298,1094,0,0,0,0,0,152360,1292104,879114,17592,0,2828,330,772,33886,1770748,531808,798,0,0,0,771820,457362,239746,198714,196730,208810,266170,1818,0,0,2471314,0,118,254,20,1170538,31404,185340,150730,129340,198100,,4320,38316.32,2471314,2471314,2482300,12814,51292,1534,46120,2341170,1209600,86644,0,118,0,2036852.16,0.0,300397.44,0,0,0,0,0,42084,913776,994862,351444,29570,8516,918,98,110,2471314,5244,580,34336,219072,171910,1758298,149420,2310,0,0,1198,1734,1988062,35908,0,1484,0,0,2048370,1842,184,0,0,0,0,0,0,0,0,16740,37776,6936,0,0,83692,15722,43180,41018,0,0,0,0,210440,916.98,1130,320972,380086,265784,138912,279982,243650,184006,138050,355518,34210,0,0
neg,39222,2130706432,624,0,0,0,0,0,0,47836,554424,1195392,686422,18984,736,1046172,0,0,0,0,0,2111246,1672280,603204,383126,0,0,0,0,506,468,0,0,0,0,0,85986,1034382,820106,563320,0,1492,818,1056,1662,30166,2468372,228,0,0,0,735680,647010,259152,207790,165652,127242,111028,237814,12416,10,2714946,1804,2426,390,10,1046172,39316,351694,249088,271320,231800,,94440,39221.22,2714946,2714946,2706360,16513,9316,25488,289300,2503794,1209600,87456,2,46,0,2178121.92,0,324119.04,2,430,0,0,1542,272136,788452,992960,432818,12862,2848,176,150,152,2714946,3400,452,69266,163164,99502,1647142,499790,20900,178,0,790,740,2026214,231886,0,10750,0,20,2196076,1784,334,0,0,0,0,0,0,0,0,24144,33532,15194,0,0,71236,14112,7196760,802578,0,0,0,0,0,837.16,1012,346530,425502,320650,160140,299886,263108,222682,201290,259780,4226,0,0
neg,35516,2130706432,178,0,0,0,0,0,0,228,153934,1545516,452500,11862,570,1023594,0,0,0,0,0,1861906,1545344,409916,283458,0,0,0,0,482,122,0,0,0,0,0,97658,1000336,918936,147680,0,2952,1670,3698,10830,137522,2007692,246,0,0,0,576092,633344,279170,200222,144320,108294,110580,112576,12,0,2272038,30,10,228,14,1023594,31668,209748,197108,212980,,,193220,35516.03,2272038,2272038,2272416,13732,2410,103658,1058780,2164610,1209600,71716,10,54,0,1979089.92,0.0,183448.32,32,512,0,0,0,18798,679922,1183736,266880,12960,2264,50,2,16,2272038,3406,328,71584,77706,83492,1639096,280194,8708,96,0,376,302,1979934,64148,0,91754,0,0,1992532,1076,224,0,0,0,0,0,0,0,0,19716,47278,15186,0,0,57058,8886,7994620,817980,0,0,0,0,1058760,693,718,197802,312712,325368,178330,365132,386886,242010,109642,46692,36,0,0
neg,150150,0,,0,0,0,0,0,4922,594140,5010030,4024512,555524,5688,0,5102218,0,0,0,7734,12760,9127644,8141886,1696444,835646,0,0,0,0,0,0,0,0,0,0,0,351140,6292788,3549650,1238,0,7690,7458,13248,32864,4021860,6060470,51218,8,0,0,3905812,1529334,633620,490972,430886,460872,780392,1473298,474952,14678,10833202,612,88,1414,412,5102218,131352,1077332,615206,269040,209920,204300,256640,150150.69,10833202,10833202,10730230,76015,230526,104112,1137940,10194816,1209600,0,,,,9095853.12,0.0,1088381.76,,,0,0,95764,2194396,5029752,2581616,250022,37810,5426,30,,0,10833202,8144,1282,684192,422798,1584970,7141828,345508,6092,2,0,,,,,,,,,,5150,254,0,0,0,0,0,0,0,0,78262,193212,35046,0,0,441576,65010,11189080,1656278,0,0,0,0,8048110,,,1126258,2476974,1472792,687756,1359368,1088056,921990,552642,500998,7982,0,0
neg,208378,,,,,0,0,79908,704314,5901316,5226372,1760778,82678,452,0,,9730,0,,590992,997408,9762522,8863378,4485600,1310094,,0,0,0,,,0,0,0,0,0,0,0,2794884,10960930,0,10922,3020,5152,7232,1982734,11746724,30,0,0,0,2427612,4040204,2991666,1942256,1005618,533760,324080,233298,111412,145906,,,,,,4440920,196706,1747396,2728918,,,,,208378.45,,,,58109,,,,,,,,,,11283314.88,0.0,2456872.32,,,0,180340,1991046,5605530,4485220,1325524,145868,21216,1070,0,,,,13940,3010,1621706,1117412,1507312,8986830,501084,4518,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2619946,2402192,963312,435136,938700,946662,1198090,4232136,19640,0,,
neg,498,36,26,0,0,0,0,0,5838,32488,6080,1526,0,0,0,19220,0,0,0,5076,8874,36580,34180,17822,2462,0,0,0,0,64,28,0,0,0,0,0,0,0,32186,13746,0,1672,28,48,54,76,1358,36204,226,6266,0,23174,9682,6728,3470,2030,790,58,0,0,0,59586,18,22,46,0,19220,606,9190,8560,,,,17200,498.46,59570,59570,58924,137,0,5666,59040,46070,1209600,1296,0,6,0,30296.64,0.0,14340.48,0,42,0,4810,12516,6148,12070,10334,54,0,0,0,0,16,59570,1620,54,110,1224,702,12302,27822,2098,0,0,48,48,30334,10186,0,12,0,0,32042,170,132,0,0,0,0,0,0,0,0,652,22,8,0,0,546,138,2720,356,0,0,0,0,0,383.98,148,15926,8788,2664,1394,4016,2736,2132,8276,0,0,0,0
neg,1666,10,8,0,0,0,0,0,0,506,98846,30952,5786,0,0,58822,0,10,0,138,484,129756,112524,41438,7578,0,0,0,0,22,224,0,0,0,0,0,0,2120,61008,72962,0,1914,956,1420,3670,5088,9088,113954,0,0,0,103168,19882,5396,3002,1824,1064,978,390,140,246,171432,10,34,42,0,58822,1428,27162,13426,,,,40280,1665.61,171432,171432,166740,404,0,16428,170260,136290,1209600,3128,0,2,0,93126.72,0.0,42024.96,70,148,0,0,484,27374,56180,43168,8344,512,28,0,0,4,171432,1382,68,1696,13396,8698,45878,61932,2936,104,0,4,362,96042,30370,0,140,0,0,96048,172,170,0,0,0,0,0,0,0,0,1082,70,10,45596,12222,2692,426,280,24,15188,178,0,0,665680,228.02,180,44122,17436,10622,6038,16376,7548,11986,21938,24,0,0,0
